ID,MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
84,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
85,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
86,I don't know,1,No,No,,I don't know,I was aware of some,Some did,"Yes, I think it would",Maybe
87,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, it has",Yes
88,,,,,1,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
89,I don't know,1,I am not sure,Yes,,,,,"No, I don't think it would",Yes
90,No,0,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
91,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
92,No,1,,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
93,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
94,I don't know,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
95,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
96,I don't know,1,I am not sure,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",No
97,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
98,,,,,1,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
99,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
100,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
101,I don't know,1,No,No,,,,,"Yes, I think it would",Yes
102,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
103,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
104,No,1,I am not sure,No,,,,,Maybe,Maybe
105,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
106,Yes,1,Yes,No,,Some did,I was aware of some,None did,Maybe,Maybe
107,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,Yes
108,Yes,1,Yes,No,,,,,"Yes, I think it would",Yes
109,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"No, I don't think it would",Yes
110,I don't know,0,No,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
111,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
112,Yes,1,I am not sure,I don't know,,,,,"Yes, I think it would",Maybe
113,,,,,1,,,,"Yes, it has",No
114,,,,,0,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
115,Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
116,I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"No, it has not",Yes
117,Yes,1,Yes,Yes,,Some did,N/A (not currently aware),Some did,Maybe,No
118,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
119,Yes,1,No,No,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Maybe
120,I don't know,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,Maybe
121,Yes,1,Yes,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
122,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
123,No,0,Yes,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
124,,,,,0,Some did,I was aware of some,None did,"Yes, I think it would",Yes
125,,,,,1,Some did,I was aware of some,Some did,Maybe,Maybe
126,I don't know,0,No,No,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,Maybe
127,,,,,0,Some did,I was aware of some,None did,Maybe,No
128,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
129,Yes,1,No,No,,I don't know,"No, I only became aware later",None did,"Yes, I think it would",No
130,I don't know,0,I am not sure,I don't know,,"Yes, they all did",I was aware of some,None did,Maybe,Maybe
131,Yes,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
132,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
133,Yes,0,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
134,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
135,Yes,0,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
136,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
137,I don't know,1,I am not sure,I don't know,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
138,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
139,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
140,No,1,Yes,No,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
141,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
142,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
143,I don't know,1,I am not sure,No,,,,,"Yes, I think it would",Yes
144,Yes,1,I am not sure,No,,Some did,N/A (not currently aware),Some did,"Yes, I think it would",Yes
145,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
146,Yes,1,No,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
147,Yes,1,Yes,I don't know,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
148,I don't know,1,No,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",No
149,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
150,Yes,0,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",Yes
151,,,,,1,Some did,I was aware of some,Some did,"Yes, it has",Yes
152,,,,,0,,,,"Yes, I think it would",No
153,Yes,1,No,I don't know,,I don't know,I was aware of some,Some did,Maybe,Maybe
154,,,,,1,"Yes, they all did",I was aware of some,None did,Maybe,Yes
155,I don't know,1,No,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
156,Yes,1,No,I don't know,,,,,"Yes, I think it would",No
157,No,1,I am not sure,I don't know,,Some did,"No, I only became aware later",None did,"Yes, it has",Yes
158,I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
159,Yes,1,Yes,I don't know,,Some did,"No, I only became aware later",None did,"Yes, I think it would",No
160,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Yes
161,Yes,0,Yes,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
162,Yes,1,Yes,Yes,,,,,"Yes, I think it would",Yes
163,Yes,0,Yes,Yes,,,,,"Yes, I think it would",No
164,Yes,1,Yes,Yes,,"No, none did",I was aware of some,None did,"Yes, I think it would",Yes
165,I don't know,0,I am not sure,No,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",No
166,I don't know,0,No,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,No
167,Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),Some did,Maybe,Maybe
168,,,,,1,,,,Maybe,Maybe
169,Yes,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Maybe
170,No,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
171,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
172,No,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
173,Yes,0,No,Yes,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Maybe
174,No,1,,No,,"No, none did",I was aware of some,None did,"Yes, it has",Yes
175,Yes,1,I am not sure,I don't know,,,,,"Yes, I think it would",No
176,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
177,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
178,No,1,,No,,"No, none did","No, I only became aware later",None did,Maybe,No
179,Yes,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, it has not",Yes
180,No,1,,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
181,I don't know,1,I am not sure,No,,,,,"Yes, I think it would",No
182,Not eligible for coverage ,1,,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
183,No,1,No,No,,"Yes, they all did",I was aware of some,None did,Maybe,No
184,Yes,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
185,No,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
186,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),"Yes, they all did","No, I don't think it would",Yes
187,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,No
188,Yes,1,No,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
189,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
190,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,Maybe,Yes
191,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
192,No,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
193,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
194,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
195,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
196,I don't know,1,No,No,,"No, none did","No, I only became aware later",None did,Maybe,Yes
197,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
198,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,Maybe,No
199,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
200,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
201,I don't know,1,,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
202,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
203,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
204,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
205,Not eligible for coverage,1,,No,,,,,"No, I don't think it would",No
206,I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
207,I don't know,1,No,No,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
208,No,1,No,No,,Some did,I was aware of some,Some did,Maybe,Yes
209,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
210,No,1,No,No,,Some did,I was aware of some,None did,"Yes, I think it would",No
211,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,"No, I don't think it would",No
212,Yes,1,No,No,,Some did,I was aware of some,Some did,"Yes, it has",Yes
213,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
214,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",No
215,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
216,I don't know,1,No,I don't know,,,,,Maybe,No
217,No,1,,No,,,,,Maybe,No
218,I don't know,1,I am not sure,I don't know,,,,,Maybe,No
219,No,1,No,No,,,,,"Yes, it has",Yes
220,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"No, it has not",Yes
221,Yes,1,No,No,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,No
222,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
223,Not eligible for coverage ,1,,No,,"No, none did",I was aware of some,None did,"Yes, it has",No
224,Yes,1,Yes,No,,"No, none did","No, I only became aware later",None did,Maybe,No
225,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
226,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
227,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
228,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
229,Yes,1,Yes,Yes,,,,,"Yes, I think it would",Yes
230,I don't know,1,No,Yes,,,,,"Yes, I think it would",Yes
231,Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
232,Yes,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
233,Yes,1,Yes,I don't know,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
234,Yes,1,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
235,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
236,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
237,No,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
238,,,,,0,I don't know,N/A (not currently aware),None did,Maybe,Maybe
239,No,1,No,No,,,,,Maybe,No
240,Not eligible for coverage ,1,I am not sure,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Maybe
241,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
242,,,,,1,"Yes, they all did",N/A (not currently aware),None did,"Yes, I think it would",No
243,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
244,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,No
245,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
246,Not eligible for coverage ,1,,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, it has",Yes
247,No,1,,No,,Some did,I was aware of some,None did,"No, it has not",Yes
248,No,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
249,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
250,Yes,1,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
251,Yes,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
252,Yes,1,Yes,Yes,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
253,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,"Yes, it has",Yes
254,,,,,1,Some did,I was aware of some,None did,Maybe,Yes
255,No,0,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
256,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Maybe
257,Yes,1,I am not sure,I don't know,,Some did,"No, I only became aware later",None did,Maybe,Yes
258,Yes,1,Yes,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
259,Yes,1,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"No, I don't think it would",Maybe
260,Yes,1,Yes,Yes,,Some did,"No, I only became aware later",Some did,"No, I don't think it would",Yes
261,Yes,1,No,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
262,Yes,0,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
263,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
264,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
265,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
266,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
267,Yes,1,Yes,Yes,,Some did,"No, I only became aware later",Some did,Maybe,No
268,No,1,No,No,,Some did,I was aware of some,Some did,"Yes, it has",Yes
269,Yes,1,Yes,Yes,,Some did,I was aware of some,None did,Maybe,Yes
270,I don't know,1,Yes,No,,Some did,"Yes, I was aware of all of them",None did,Maybe,Yes
271,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,No
272,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
273,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
274,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
275,Yes,1,Yes,No,,,,,Maybe,Yes
276,I don't know,0,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
277,Yes,1,I am not sure,I don't know,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",Yes
278,,,,,0,"No, none did","No, I only became aware later",None did,"Yes, it has",Maybe
279,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
280,Yes,1,I am not sure,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",No
281,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
282,Yes,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, it has",Maybe
283,,,,,1,"Yes, they all did",N/A (not currently aware),None did,Maybe,No
284,No,0,,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
285,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
286,Yes,1,No,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, it has",Yes
287,I don't know,1,I am not sure,Yes,,I don't know,N/A (not currently aware),"Yes, they all did",Maybe,No
288,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
289,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
290,No,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
291,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
292,I don't know,1,No,I don't know,,,,,Maybe,Maybe
293,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
294,I don't know,1,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
295,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
296,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
297,Yes,1,I am not sure,No,,Some did,I was aware of some,"Yes, they all did",Maybe,Yes
298,Yes,0,I am not sure,Yes,,"No, none did",I was aware of some,None did,Maybe,No
299,I don't know,0,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
300,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
301,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
302,Not eligible for coverage ,0,,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
303,No,0,I am not sure,No,,,,,"Yes, I think it would",No
304,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
305,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
306,No,1,No,No,,Some did,N/A (not currently aware),None did,"Yes, I think it would",No
307,I don't know,1,No,I don't know,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",No
308,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
309,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
310,I don't know,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
