MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
No,1,N/A,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
No,1,N/A,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
I don't know,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
Yes,1,I am not sure,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
I don't know,1,I am not sure,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",No
I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
,,,,1,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
I don't know,1,No,No,,,,,"Yes, I think it would",Yes
I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
No,1,I am not sure,No,,,,,Maybe,Maybe
,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
Yes,1,Yes,No,,Some did,I was aware of some,None did,Maybe,Maybe
Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,Yes
Yes,1,Yes,No,,,,,"Yes, I think it would",Yes
,,,,1,"No, none did","Yes, I was aware of all of them",None did,"No, I don't think it would",Yes
I don't know,0,No,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
Yes,1,I am not sure,I don't know,,,,,"Yes, I think it would",Maybe
,,,,1,,,,"Yes, it has",No
,,,,0,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"No, it has not",Yes
Yes,1,Yes,Yes,,Some did,N/A (not currently aware),Some did,Maybe,No
I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
Yes,1,No,No,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Maybe
I don't know,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,Maybe
Yes,1,Yes,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
No,0,Yes,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
,,,,0,Some did,I was aware of some,None did,"Yes, I think it would",Yes
,,,,1,Some did,I was aware of some,Some did,Maybe,Maybe
I don't know,0,No,No,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,Maybe
,,,,0,Some did,I was aware of some,None did,Maybe,No
I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
Yes,1,No,No,,I don't know,"No, I only became aware later",None did,"Yes, I think it would",No
I don't know,0,I am not sure,I don't know,,"Yes, they all did",I was aware of some,None did,Maybe,Maybe
Yes,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
Yes,0,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
Yes,0,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
I don't know,1,I am not sure,I don't know,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
No,1,Yes,No,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
I don't know,1,I am not sure,No,,,,,"Yes, I think it would",Yes
Yes,1,I am not sure,No,,Some did,N/A (not currently aware),Some did,"Yes, I think it would",Yes
,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
Yes,1,No,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
Yes,1,Yes,I don't know,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
I don't know,1,No,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",No
No,1,N/A,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
Yes,0,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",Yes
,,,,1,Some did,I was aware of some,Some did,"Yes, it has",Yes
,,,,0,,,,"Yes, I think it would",No
Yes,1,No,I don't know,,I don't know,I was aware of some,Some did,Maybe,Maybe
,,,,1,"Yes, they all did",I was aware of some,None did,Maybe,Yes
I don't know,1,No,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
Yes,1,No,I don't know,,,,,"Yes, I think it would",No
No,1,I am not sure,I don't know,,Some did,"No, I only became aware later",None did,"Yes, it has",Yes
I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
Yes,1,Yes,I don't know,,Some did,"No, I only became aware later",None did,"Yes, I think it would",No
Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Yes
Yes,0,Yes,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
Yes,1,Yes,Yes,,,,,"Yes, I think it would",Yes
Yes,0,Yes,Yes,,,,,"Yes, I think it would",No
Yes,1,Yes,Yes,,"No, none did",I was aware of some,None did,"Yes, I think it would",Yes
I don't know,0,I am not sure,No,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",No
I don't know,0,No,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,No
Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),Some did,Maybe,Maybe
,,,,1,,,,Maybe,Maybe
Yes,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Maybe
No,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
No,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
Yes,0,No,Yes,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Maybe
No,1,N/A,No,,"No, none did",I was aware of some,None did,"Yes, it has",Yes
Yes,1,I am not sure,I don't know,,,,,"Yes, I think it would",No
Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
No,1,N/A,No,,"No, none did","No, I only became aware later",None did,Maybe,No
Yes,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, it has not",Yes
No,1,N/A,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
I don't know,1,I am not sure,No,,,,,"Yes, I think it would",No
Not eligible for coverage / N/A,1,N/A,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
No,1,No,No,,"Yes, they all did",I was aware of some,None did,Maybe,No
Yes,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
No,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),"Yes, they all did","No, I don't think it would",Yes
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,No
Yes,1,No,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,Maybe,Yes
,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
No,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
I don't know,1,No,No,,"No, none did","No, I only became aware later",None did,Maybe,Yes
,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,Maybe,No
Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
I don't know,1,N/A,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
Not eligible for coverage / N/A,1,N/A,No,,,,,"No, I don't think it would",No
I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
I don't know,1,No,No,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
No,1,No,No,,Some did,I was aware of some,Some did,Maybe,Yes
Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
No,1,No,No,,Some did,I was aware of some,None did,"Yes, I think it would",No
Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,"No, I don't think it would",No
Yes,1,No,No,,Some did,I was aware of some,Some did,"Yes, it has",Yes
I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",No
I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
I don't know,1,No,I don't know,,,,,Maybe,No
No,1,N/A,No,,,,,Maybe,No
I don't know,1,I am not sure,I don't know,,,,,Maybe,No
No,1,No,No,,,,,"Yes, it has",Yes
Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"No, it has not",Yes
Yes,1,No,No,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,No
I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
Not eligible for coverage / N/A,1,N/A,No,,"No, none did",I was aware of some,None did,"Yes, it has",No
Yes,1,Yes,No,,"No, none did","No, I only became aware later",None did,Maybe,No
Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
Yes,1,Yes,Yes,,,,,"Yes, I think it would",Yes
I don't know,1,No,Yes,,,,,"Yes, I think it would",Yes
Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
Yes,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
Yes,1,Yes,I don't know,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
Yes,1,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
No,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
,,,,0,I don't know,N/A (not currently aware),None did,Maybe,Maybe
No,1,No,No,,,,,Maybe,No
Not eligible for coverage / N/A,1,I am not sure,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Maybe
I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
,,,,1,"Yes, they all did",N/A (not currently aware),None did,"Yes, I think it would",No
I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
,,,,1,I don't know,N/A (not currently aware),None did,Maybe,No
I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
Not eligible for coverage / N/A,1,N/A,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, it has",Yes
No,1,N/A,No,,Some did,I was aware of some,None did,"No, it has not",Yes
No,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
Yes,1,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
Yes,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
Yes,1,Yes,Yes,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,"Yes, it has",Yes
,,,,1,Some did,I was aware of some,None did,Maybe,Yes
No,0,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Maybe
Yes,1,I am not sure,I don't know,,Some did,"No, I only became aware later",None did,Maybe,Yes
Yes,1,Yes,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
Yes,1,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"No, I don't think it would",Maybe
Yes,1,Yes,Yes,,Some did,"No, I only became aware later",Some did,"No, I don't think it would",Yes
Yes,1,No,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
Yes,0,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
Yes,1,Yes,Yes,,Some did,"No, I only became aware later",Some did,Maybe,No
No,1,No,No,,Some did,I was aware of some,Some did,"Yes, it has",Yes
Yes,1,Yes,Yes,,Some did,I was aware of some,None did,Maybe,Yes
I don't know,1,Yes,No,,Some did,"Yes, I was aware of all of them",None did,Maybe,Yes
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,No
Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
Yes,1,Yes,No,,,,,Maybe,Yes
I don't know,0,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
Yes,1,I am not sure,I don't know,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",Yes
,,,,0,"No, none did","No, I only became aware later",None did,"Yes, it has",Maybe
Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
Yes,1,I am not sure,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",No
Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
Yes,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, it has",Maybe
,,,,1,"Yes, they all did",N/A (not currently aware),None did,Maybe,No
No,0,N/A,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
Yes,1,No,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, it has",Yes
I don't know,1,I am not sure,Yes,,I don't know,N/A (not currently aware),"Yes, they all did",Maybe,No
No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
No,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
I don't know,1,No,I don't know,,,,,Maybe,Maybe
,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
I don't know,1,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
No,1,No,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
Yes,1,I am not sure,No,,Some did,I was aware of some,"Yes, they all did",Maybe,Yes
Yes,0,I am not sure,Yes,,"No, none did",I was aware of some,None did,Maybe,No
I don't know,0,N/A,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
Not eligible for coverage / N/A,1,N/A,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
Not eligible for coverage / N/A,0,N/A,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
No,0,I am not sure,No,,,,,"Yes, I think it would",No
,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
No,1,No,No,,Some did,N/A (not currently aware),None did,"Yes, I think it would",No
I don't know,1,No,I don't know,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",No
,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
I don't know,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
,,,,0,"No, none did","No, I only became aware later",None did,"Yes, it has",Yes
Yes,1,I am not sure,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,No
Not eligible for coverage / N/A,1,N/A,No,,"Yes, they all did",N/A (not currently aware),None did,Maybe,Yes
No,1,I am not sure,No,,"No, none did",N/A (not currently aware),Some did,Maybe,No
,,,,1,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
I don't know,0,No,No,,I don't know,"No, I only became aware later",Some did,Maybe,No
Yes,1,I am not sure,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",No
I don't know,1,I am not sure,No,,,,,Maybe,Yes
Yes,1,Yes,No,,Some did,I was aware of some,Some did,Maybe,No
I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
Yes,1,I am not sure,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Yes
